StockKeyLabel,FisheriesGuild,F_FMSY,catches,landings,discards,FMSY,F,AssessmentYear,Year,SSB_MSYBtrigger,SSB,MSYBtrigger,Status,total
aru.27.5b6a,pelagic,NA,NA,16033,187,NA,NA,NA,NA,NA,NA,NA,GREY,1709856
aru.27.6b7-1012,pelagic,NA,140,36,104,NA,NA,NA,NA,NA,NA,NA,GREY,1709856
boc.27.6-8,pelagic,NA,11286,9927,1359,NA,NA,2019,2019,NA,270900,NA,GREY,1709856
bsf.27.nea,pelagic,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,GREY,1709856
her.27.6a7bc,pelagic,NA,5557,5557,NA,NA,0.501,NA,NA,NA,NA,NA,GREY,1709856
her.27.irls,pelagic,1.28076923076923,4418,4418,NA,0.26,0.333,2019,2019,0.421981481481481,22787,54000,RED,1709856
her.27.nirs,pelagic,0.586466165413534,6804,6804,0,0.266,0.156,2019,2019,1.96492266080636,23247,11831,GREEN,1709856
hom.27.2a4a5b6a7a-ce-k8,pelagic,1.17567567567568,101682,99072,2609,0.074,0.087,2019,2019,0.74711282988893,872831,1168272,RED,1709856
mac.27.nea,pelagic,1.03478260869565,1026437,NA,NA,0.23,0.238,2019,2019,1.7248624,4312156,2500000,RED,1709856
nop.27.6a,pelagic,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,GREY,1709856
reb.2127.sp,pelagic,NA,4599,NA,NA,NA,NA,NA,NA,NA,NA,NA,GREY,1709856
spr.27.67a-cf-k,pelagic,NA,NA,3590,NA,NA,NA,NA,NA,NA,NA,NA,GREY,1709856
spr.27.7de,pelagic,NA,NA,2252,NA,NA,0.11,NA,NA,NA,NA,NA,GREY,1709856
whb.27.1-91214,pelagic,1.23125,1709856,1709856,NA,0.32,0.394,2019,2019,2.47851066666667,5576649,2250000,RED,1709856
